ay	日	700
ay	曰	700
by	月	700
cg	金	700
dm	木	700
es	水	700
ff	火	700
gt	土	700
hj	竹	700
ig	戈	700
js	十	700
kd	大	700
lj	中	700
my	一	700
ng	弓	700
oy	人	700
ps	心	700
qs	手	700
rh	口	700
ss	尸	700
ty	廿	700
us	山	700
vn	女	700
wt	田	700
　	za	640
︳	za	635
︴	zc	635
﹏	zd	635
–	zw	640
︱	zx	640
—	zy	640
，	zb	640
﹐	zn	640
、	zc	640
；	zg	640
﹔	zr	640
：	zh	640
﹕	zs	640
！	zj	640
﹗	zu	640
？	zi	640
﹖	zt	640
．	ze	640
﹒	zp	640
︰	zk	640
‥	zm	640
…	zl	640
。	zd	640
·	zq	640
‘	zr	630
’	zs	630
“	zt	630
”	zu	630
〝	zv	630
〞	zw	630
（	ze	635
︵	zg	635
﹙	zl	630
）	zf	635
︶	zh	635
﹚	zm	630
｛	zi	635
︷	zk	635
﹛	zn	630
｝	zj	635
︸	zl	635
﹜	zo	635
︿	zb	630
〈	zy	635
〉	za	630
﹀	zc	630
《	zu	635
︽	zw	635
》	zv	635
︾	zx	635
「	zd	630
﹁	zf	630
」	ze	630
﹂	zg	630
『	zh	630
﹃	zj	630
』	zi	630
﹄	zk	630
【	zq	635
︻	zs	635
】	zr	635
︼	zt	635
〔	zm	635
︹	zo	640
﹝	zp	630
〕	zn	635
︺	zp	635
﹞	zq	630
‧	zf	640
′	zy	630
‵	zx	630
｜	zv	640
═	xm	640
║	xl	640
╒	xf	640
╓	xh	640
╔	xr	640
╕	xf	630
╖	xh	630
╗	xr	630
╘	xf	610
╙	xh	610
╚	xr	610
╛	xf	600
╜	xh	600
╝	xr	600
╞	xf	625
╟	xh	625
╠	xr	625
╡	xf	615
╢	xh	615
╣	xr	615
╤	xf	635
╥	xh	635
╦	xr	635
╧	xf	605
╨	xh	605
╩	xr	605
╪	xf	620
╫	xh	620
╬	xr	620
╭	xo	640
╮	xo	635
╯	xo	625
╰	xo	630
╴	zb	635
yb	卜	500
mnd	丁	500
juc	七	500
jkj	丈	500
yms	上	500
myh	下	500
mfb	不	500
msk	丐	500
ngc	丑	500
bmc	且	500
pts	世	500
mbb	丙	500
cla	丫	500
qjf	丰	500
kiy	丸	500
byd	丹	500
ygc	主	500
nsn	乃	500
nog	久	500
ioj	之	500
hdf	乎	500
nuy	乙	500
kng	九	500
onh	乞	500
pdy	也	500
nnl	了	500
mmy	二	500
mdy	于	500
miw	云	500
ttj	井	500
yvm	亡	500
ynk	亢	500
yoh	亥	500
yfg	京	500
ojs	什	500
omy	仁	500
moj	仄	500
oyf	仆	500
olg	介	500
osy	仍	500
odj	仔	500
ogs	仕	500
okj	仗	500
oif	付	500
ous	仙	500
voy	以	500
oqg	件	500
oek	伋	500
oof	伕	500
off	伙	500
oab	伯	500
owd	佃	500
otw	位	500
ovl	佞	500
dol	來	500
oxc	儕	500
