倚	yee	84
倚	yi	84
倛	hei	0
倜	tik	0
倞	ging	0
借	je	117
倠	fai	0
倡	cheung	9
倢	jit	0
倣	fong	0
倥	hung	0
倦	guen	27
倧	jung	0
倨	gui	0
倩	sin	10
倪	ngai	8
倫	lun	89
倬	cheuk	0
倭	wai	0
倰	ling	0
倳	ji	0
倷	noi	0
值	jik	333
偁	ching	0
偃	yim	1
偅	chung	0
偆	chun	0
假	ga	381
假	gaa	381
偈	kit	4
偉	wai	140
偊	yue	0
偋	bing	0
偌	ye	1
偍	chi	0
偎	wooi	5
偏	pin	129
偓	ak	0
偕	gaai	3
做	jo	1093
偛	jap	0
停	ting	303
偝	bui	0
偞	yip	0
偟	wong	0
偠	yiu	0
偡	jam	0
偢	chiu	0
健	gin	108
偨	chi	0
偩	foo	0
偪	bik	0
偫	ji	0
偭	min	0
偯	yi	0
偰	sit	0
偲	si	0
偳	jui	0
側	jak	36
偵	jing	31
偶	ngau	117
偷	tau	129
偺	ja	0
偽	ngai	19
傀	faai	4
傂	chi	0
傃	so	0
傅	foo	21
傋	kau	0
傌	ma	3
傍	bong	7
傍	pong	7
傎	din	0
傑	git	96
傒	hai	0
傔	him	0
傕	gok	0
傖	chong	0
傘	saan	15
備	bei	462
傚	haau	0
傛	yung	0
傜	yiu	1
傝	tap	0
傞	choh	0
傢	ga	35
傢	gaa	35
傣	daai	0
傣	taai	0
催	chui	25
傭	yung	3
傮	tso	0
傯	jung	1
傰	pang	0
傱	sung	0
傲	o	48
傳	chuen	584
傴	yue	0
債	jaai	14
傶	chau	0
傷	seung	361
傺	chai	0
傻	soh	79
傽	jeung	0
傾	king	52
傿	yin	0
僁	sik	0
僂	lau	0
僄	piu	0
僅	gan	127
僆	lin	0
僇	luk	0
僈	maan	0
僉	chim	0
僊	sin	0
僋	lam	0
僎	jaan	0
像	jeung	1435
僑	kiu	41
僓	wui	0
僔	juen	0
僕	buk	16
僖	hei	0
僗	lo	0
僚	lo	10
僛	hei	0
僝	san	0
僣	jim	0
僤	daan	0
僥	hiu	3
僦	cheu	0
僧	jang	18
僨	fan	0
僩	haan	0
僪	kuet	0
僬	jiu	0
僭	jim	0
僮	tung	1
僰	bat	0
僱	goo	2
僱	gu	2
僳	suk	0
僵	geung	9
僶	man	0
僸	gam	0
價	ga	608
價	gaa	608
僻	pik	5
僽	jau	0
僾	ngoi	0
僿	choi	0
儀	yi	63
儂	nung	26
儃	sin	0
億	yik	48
儅	do	0
儆	ging	0
儇	huen	0
儈	kooi	0
儉	gim	3
儊	choh	0
儋	daam	0
儌	giu	0
儍	soh	0
儐	ban	1
儑	ngam	0
儒	yue	36
儓	toi	0
儔	chau	0
儕	chaai	5
儗	yi	0
儘	jun	55
儚	mang	0
儜	nang	0
償	seung	19
儠	lip	0
儡	lui	5
儢	lui	0
儤	bo	0
儤	bou	0
儥	yuk	0
儦	biu	0
儩	chi	0
優	yau	207
儭	chan	0
儰	wai	0
儱	lung	0
儲	chu	25
儲	chue	25
儳	chaam	0
儴	yeung	0
儵	suk	0
儷	lai	2
儸	loh	2
儹	jan	0
儺	loh	0
儻	tong	1
儼	yim	3
儽	lui	0
儿	yee	0
儿	yi	0
兀	ngat	2
允	wan	31
元	yuen	581
兄	hing	536
充	chung	174
兆	siu	18
兇	hung	34
先	sin	1003
光	gwong	849
克	hak	281
兌	dui	4
免	min	276
兒	yee	493
兒	yi	493
兔	to	36
兔	tou	36
兕	ji	0
兗	yin	0
党	dong	0
兜	dau	10
兟	san	0
兢	ging	2
入	yap	961
內	noi	909
全	chuen	1207
兩	leung	1206
八	baat	488
公	gung	1137
六	luk	409
兮	hai	107
共	gung	521
兵	bing	266
其	kei	1844
具	gui	257
典	din	173
兼	gim	54
冀	kei	4
冂	gwing	0
冇	mo	1
冇	mou	1
冉	yim	2
冊	chaak	132
再	joi	1537
冏	gwing	0
冑	jau	0
冒	mo	84
冒	mou	84
冓	kau	0
冔	hui	0
冕	min	3
冖	mik	0
冗	yung	6
冘	yam	0
冚	gam	0
冚	ham	0
冞	mei	0
冠	goon	127
冢	chung	0
冤	yuen	15
冥	ming	19
冧	lam	0
冧	nam	0
冪	mik	0
冫	bing	0
冬	dung	67
冰	bing	98
冱	woo	0
冶	ye	2
冷	laang	188
冹	fat	0
冼	sin	0
冽	lit	1
凄	chai	0
凅	goo	0
准	jun	55
凈	jeng	0
凈	jing	0
凊	jing	0
凋	diu	8
凌	ling	36
凍	dung	20
凎	gam	0
凔	chong	0
凘	si	0
凜	lam	3
凝	ying	32
几	gei	14
凡	faan	116
凰	wong	1261
凱	hoi	68
凳	dang	8
凵	ham	0
凶	hung	10
凸	dat	9
凹	nap	6
出	chut	2990
凼	tam	0
函	haam	59
刀	do	156
刀	dou	156
刁	diu	7
刃	yan	7
分	fan	1397
切	chai	345
切	chit	345
切	tsit	345
刈	ngai	0
刉	sang	0
刊	hon	89
刌	chin	0
刎	man	0
刑	ying	27
划	wa	20
刓	yuen	0
刖	yuet	0
列	lit	349
刜	fat	0
初	choh	261
刞	chui	0
判	poon	165
別	bit	1107
刨	paau	0
利	lei	609
刪	saan	42
刮	gwaat	20
到	do	7783
到	dou	7783
刱	chong	0
刲	gwai	0
刳	foo	0
刵	nei	0
制	jai	430
刷	chaat	33
券	guen	12
券	huen	12
刺	chi	85
刻	hak	164
剁	deuk	1
剃	tai	12
剄	ging	0
則	jak	619
剉	choh	0
削	seuk	13
剋	hak	9
剌	la	1
前	chin	1980
剎	sat	15
剒	chok	0
剔	tai	2
剕	fai	0
剖	fau	8
剖	pau	8
剗	chaan	0
剚	ji	0
剛	gong	356
剜	woon	0
剝	mok	14
剞	gei	0
剟	juet	0
剡	yim	0
剩	sing	82
剪	jin	43
剫	dok	0
剬	duen	0
剭	ak	0
剮	gwa	0
副	foo	82
割	got	46
剴	hoi	0
創	chong	183
剷	chaan	1
剸	tuen	0
剺	lei	0
剻	fau	0
剼	saam	0
剽	piu	1
剿	jiu	2
劀	gwat	0
劁	chiu	0
劂	kuet	0
劃	waak	141
劄	jaap	0
劇	kek	199
劈	pek	10
劈	pik	10
劉	lau	161
劊	kooi	1
劋	jiu	0
劌	gwai	0
劍	gim	182
劏	tong	0
劑	jai	26
劓	yi	0
劖	chaam	0
劗	juen	0
劘	moh	0
劙	lei	0
力	lik	1450
功	gung	647
加	ga	1196
加	gaa	1196
劣	luet	27
劦	hip	0
助	joh	308
努	no	143
努	nou	143
劫	gip	30
劬	kui	0
劭	siu	1
劮	yat	0
劻	hong	0
劼	kit	0
劾	hat	1
勁	ging	47
勃	boot	18
勇	yung	126
勉	min	41
勍	king	0
勒	laak	63
動	dung	1486
勖	yuk	0
勗	yuk	0
勘	ham	5
務	mo	410
務	mou	410
勛	fan	2
勝	sing	377
勞	lo	73
募	mo	16
募	mou	16
勢	sai	195
勣	jik	0
勤	kan	44
勦	chui	2
勩	yee	0
勯	dan	0
勰	hip	0
勱	maai	0
勳	fan	20
勴	lui	0
勵	lai	57
勷	yeung	0
勸	huen	55
勹	baau	0
勺	cheuk	0
勻	wan	6
勼	gau	0
勾	ngau	25
勿	mat	56
包	baau	349
匆	chung	25
匈	hung	2
匉	ping	0
匊	guk	0
匋	to	0
匍	po	0
匏	paau	0
匐	baak	0
匒	daap	0
匕	bei	3
化	fa	692
化	faa	692
北	bak	655
北	buk	655
匙	chi	24
匚	fong	0
匜	yi	0
匝	jaap	1
匟	kong	0
匠	jeung	9
匡	hong	8
匢	fat	0
匣	haap	7
匪	fei	22
匭	gwai	0
匯	wooi	21
匯	wui	21
匰	daan	0
匱	gwai	1
匴	suen	0
匷	kui	0
匸	hai	0
匹	pat	18
匼	am	0
匽	yin	0
匾	bin	0
匿	nik	14
區	au	995
區	kui	995
區	ngau	995
十	sap	1264
千	chin	343
卅	sa	6
升	sing	151
午	ng	185
卉	wai	2
半	boon	407
卌	se	0
卌	seh	0
卍	man	1
卑	bei	20
卒	juet	31
卒	jut	31
卓	cheuk	20
協	hip	137
南	na	454
南	nam	454
博	bok	221
卜	buk	22
卞	bin	0
占	jim	22
卡	ka	523
卣	yau	0
卦	gwa	9
卩	jit	0
卬	yeung	0
卮	ji	0
卯	maau	5
卯	mau	5
印	yan	292
危	ngai	94
卲	siu	0
即	jik	482
卵	lun	11
卷	guen	79
卸	se	22
卹	sut	0
卻	keuk	655
卼	ngat	0
卿	hing	20
厂	hon	0
厄	aak	5
厄	ak	5
厄	ngak	5
厊	nga	0
厎	ji	0
厏	ja	0
厒	hip	0
厔	jat	0
厖	mong	0
厗	tai	0
厘	lei	1
厙	se	0
厚	hau	58
厜	sui	0
厝	cho	4
厞	fai	0
原	yuen	1016
厤	lik	0
厥	kuet	3
厬	gwai	0
厭	yim	98
厲	laai	67
厲	lai	67
厴	yim	0
厶	si	0
厹	kau	0
去	hui	2609
參	chaam	502
參	saam	502
參	sam	502
又	yau	1465
叉	cha	28
及	gap	1110
及	kap	1110
友	yau	1258
双	seung	0
反	faan	672
反	fan	672
叔	suk	29
取	chui	699
受	sau	675
叛	boon	23
叟	sau	1
叡	yui	26
叢	chung	20
口	hau	517
古	goo	302
古	gu	302
句	gui	238
另	ling	484
叨	to	1
叨	tou	1
叩	kau	6
只	chi	2595
只	ji	2595
叫	giu	590
召	jiu	44
叭	ba	49
叮	ding	22
可	hoh	5821
台	toi	2456
叱	chik	1
史	si	248
右	yau	228
叵	poh	0
叶	hip	0
司	si	287
叻	lek	0
叼	diu	0
吁	hui	1
吃	hek	486
各	gok	1214
吆	yiu	1
合	hap	907
吉	gat	177
吊	diu	37
吋	chuen	20
同	tung	2268
名	ming	1592
后	hau	44
吏	lei	3
吐	to	45
吐	tou	45
向	heung	622
吒	ja	1
吓	ha	10
吔	ya	10
吖	ah	0
吙	foh	0
君	gwan	208
吝	lun	39
吞	tan	18
吟	yam	34
吠	fai	6
吥	bat	0
否	fau	984
吧	ba	1743
吨	dun	0
吩	fan	2
吪	oh	0
含	ham	163
听	yan	0
吭	haang	4
吮	suen	1
吰	wang	0
吱	chi	3
吱	ji	3
吳	ng	193
吵	chaau	78
吶	nut	9
吷	huet	0
吸	kap	122
吹	chui	90
吻	man	24
吼	hau	9
吽	hung	2
吾	ng	51
呀	a	268
呀	ah	268
呂	lui	44
呃	aak	8
呃	ngak	8
呆	daai	148
呆	ngoi	148
呈	ching	27
告	go	887
告	gou	887
告	guk	887
呎	chek	4
呏	sing	0
呔	taai	0
呠	pan	0
呢	ne	1278
呢	nei	1278
呣	mo	0
呤	ling	0
呥	yim	0
呦	yau	29
周	jau	175
呫	tip	0
呬	si	0
呰	ji	0
呱	goo	6
呱	gwa	6
呱	gwaa	6
呲	chi	0
味	mei	245
呴	hau	0
呵	ho	605
呵	hoh	605
呵	o	605
呶	nau	0
呷	haap	1
呸	pei	4
呺	hiu	0
呻	san	12
呼	foo	141
命	ming	505
呾	daat	0
呿	kui	0
咀	joh	2
咀	jui	2
咁	gam	1
咂	jaap	0
咄	chuet	2
咄	dut	2
咄	juet	2
咆	paau	4
咇	bei	0
咇	bit	0
咈	fat	0
咋	ja	0
和	woh	1925
咍	hoi	0
咎	ko	5
咏	wing	0
咐	foo	2
咑	da	0
咒	jau	22
咕	goo	12
咖	ga	41
咖	gaa	41
咗	joh	10
咚	dung	10
咠	chap	0
咡	yi	0
咢	ngok	0
咢	ok	0
咥	hei	0
咦	yi	35
咧	lit	106
咨	ji	1
咩	me	1
